judul,isi,tanggal,link
Video Pria Menginjak Al-Qur’an di Klub Malam Arab Saudi				,"Lokasi kejadian bukan di Arab Saudi, tetapi Manchester (Inggris).","November 15, 2024",https://turnbackhoax.id/2024/11/15/salah-video-pria-menginjak-al-quran-di-klub-malam-arab-saudi/
Tingkat Korupsi Indonesia Paling Tinggi di Dunia				,"Melansir data Transparency International, peringkat Indonesia berdasarkan indeks persepsi korupsi (IPK) tahun 2023 berada di urutan 106 dari 180 negara.","November 11, 2024",https://turnbackhoax.id/2024/11/11/salah-tingkat-korupsi-indonesia-paling-tinggi-di-dunia/
"Timnas Indonesia U-15 Juara Piala Dunia 2024				",Video yang beredar merupakan potongan momen pertandingan antara Timnas Junior Indonesia melawan Tunisia di Turnamen Danone Nations Cup 2012. ,"November 11, 2024",https://turnbackhoax.id/2024/11/11/salah-timnas-indonesia-u-15-juara-piala-dunia-2024/
SBY Marah-Marah dan Melabrak Gibran				,Tidak ada informasi dari sumber kredibel yang membenarkan klaim tersebut,"November 11, 2024",https://turnbackhoax.id/2024/11/11/salah-sby-marah-marah-dan-melabrak-gibran/
Netanyahu Tantang Indonesia dan Malaysia Lawan Israel				,Tidak ditemukan sumber kredibel yang membenarkan pernyataan tersebut,"November 11, 2024",https://turnbackhoax.id/2024/11/11/salah-netanyahu-tantang-indonesia-dan-malaysia-lawan-israel/
Minum Air Dingin saat Cuaca Panas Bisa Sebabkan Stroke				,Tidak ada bukti ilmiah yang menyatakan stroke itu disebabkan aktivitas minum air dingin saat cuaca panas.,"November 11, 2024",https://turnbackhoax.id/2024/11/11/salah-minum-air-dingin-saat-cuaca-panas-bisa-sebabkan-stroke/
BEI Ajak Masyarakat Gabung Grup WA Komunitas Investasi Saham				,Bursa Efek Indonesia (BEI) tak pernah mengajak masyarakat untuk bergabung dalam grup WhatsApp apapun.,"November 11, 2024",https://turnbackhoax.id/2024/11/11/penipuan-bei-ajak-masyarakat-gabung-grup-wa-komunitas-investasi-saham/
Suami Puan Maharani Ditangkap KPK				,"Sosok dalam foto adalah Muhammad Yusrizki Muliawan, Direktur Utama PT Basis Utama Prima (PT BUP), salah satu perusahaan milik suami Puan Maharani.","November 10, 2024",https://turnbackhoax.id/2024/11/10/salah-suami-puan-maharani-ditangkap-kpk/
Uang Pecahan Rp75.000 Tidak Berlaku untuk Transaksi Jual Beli				,Bank Indonesia menegaskan uang pecahan Rp75.000 adalah alat pembayaran yang sah.,"November 9, 2024",https://turnbackhoax.id/2024/11/09/salah-uang-pecahan-rp75-000-tidak-berlaku-untuk-transaksi-jual-beli/
"Lowongan Pendamping Lokal Desa (PLD), Gaji Belasan Juta Rupiah				","Kementerian Desa, Pembangunan Desa Tertinggal (PDT), dan Transmigrasi menegaskan pihaknya tidak membuka loker PLD.","November 8, 2024",https://turnbackhoax.id/2024/11/08/penipuan-lowongan-pendamping-lokal-desa-pld-gaji-belasan-juta-rupiah/
Hary Tanoe Bagi-Bagi Uang Rp50 Juta				,"Setelah dicek menggunakan Hive Moderation, suara Hary Tanoesoedibjo membagikan Rp50 juta terdeteksi dihasilkan AI. Probabilitasnya 99,2%.","November 8, 2024",https://turnbackhoax.id/2024/11/08/penipuan-hary-tanoe-bagi-bagi-uang-rp50-juta/
Tepung Tapioka dan Gula Merah Bisa Obati Sakit Lambung				,Tidak ada bukti klinis yang mendukung klaim “konsumsi rebusan tepung tapioka dapat mengobati atau mencegah kambuhnya asam lambung”.,"November 7, 2024",https://turnbackhoax.id/2024/11/07/salah-tepung-tapioka-dan-gula-merah-bisa-obati-sakit-lambung/
SPBU Kebakaran Akibat Ada Transaksi Beli BBM Pakai QR				,Video yang beredar adalah potongan dokumentasi kebakaran di SPBU karena korsleting mobil saat pengisian BBM,"November 7, 2024",https://turnbackhoax.id/2024/11/07/salah-spbu-kebakaran-akibat-ada-transaksi-beli-bbm-pakai-qr/
Sopir Truk Pemicu Kecelakaan di Tangerang Meninggal Dihakimi Massa				,"Sopir memang dikeroyok massa, tetapi tak meninggal dunia.","November 7, 2024",https://turnbackhoax.id/2024/11/07/salah-sopir-truk-pemicu-kecelakaan-di-tangerang-meninggal-dihakimi-massa/
70 Preman Anak Buah Jokowi Diringkus				,Tidak ada media massa atau sumber kredibel lain yang membenarkan narasi tersebut,"November 7, 2024",https://turnbackhoax.id/2024/11/07/salah-70-preman-anak-buah-jokowi-diringkus/
Tautan Pendaftaran Bansos BPNT dan PKH				,Masyarakat yang berhak menerima BPNT dan PKH sudah terdaftar di Data Terpadu Kesejahteraan Sosial (DKTS).,"November 7, 2024",https://turnbackhoax.id/2024/11/07/penipuan-tautan-pendaftaran-bansos-bpnt-dan-pkh/
Pesan WA “Minta Uang” dari Pjs Wali Kota Makassar				,"Pemerintah Kota Makassar menegaskan nomor tersebut palsu, bukan milik Pjs Wali Kota Makassar, Andi Arwin Azis.","November 7, 2024",https://turnbackhoax.id/2024/11/07/penipuan-pesan-wa-minta-uang-dari-pjs-wali-kota-makassar/
Lowongan Kerja di PT Elnusa dari “lokerindonesia_id				,Unggahan akun TikTok “lokerindonesia_id” yang berisi informasi loker PT Elnusa merupakan konten tiruan (impostor content) untuk modus penipuan. ,"November 7, 2024",https://turnbackhoax.id/2024/11/07/penipuan-lowongan-kerja-di-pt-elnusa-dari-lokerindonesia_id/
Video “China Berhasil Lakukan Kloning Babi dengan Sapi”				,Tidak ada penelitian yang melaporkan keberhasilan kloning sapi dengan babi.,"November 6, 2024",https://turnbackhoax.id/2024/11/06/salah-video-china-berhasil-lakukan-kloning-babi-dengan-sapi/
Video Bawaslu Arahkan Masyarakat Coblos Salah Satu Paslon				,Bawaslu Karawang menegaskan video tersebut adalah hoaks yang dibuat oleh oknum tidak bertanggung jawab.,"November 6, 2024",https://turnbackhoax.id/2024/11/06/salah-video-bawaslu-arahkan-masyarakat-coblos-salah-satu-paslon/
Tangkapan Layar Artikel “UAS Ajak Umatnya Kalau Belanja ke Warung Tanyakan Dulu Apa Agamanya”  				,"Faktanya, tidak ada artikel dengan judul tersebut di detikNews.","November 6, 2024",https://turnbackhoax.id/2024/11/06/salah-tangkapan-layar-artikel-uas-ajak-umatnya-kalau-belanja-ke-warung-tanyakan-dulu-apa-agamanya/
Imbauan Ada Pancaran Radiasi Cahaya Kosmik Berbahaya				,Lembaga Penerbangan dan Antariksa Nasional (LAPAN) menegaskan kalau informasi tersebut merupakan hoaks.,"November 6, 2024",https://turnbackhoax.id/2024/11/06/salah-imbauan-ada-pancaran-radiasi-cahaya-kosmik-berbahaya/
Daftar Gebrakan Menteri Pendidikan Dasar dan Menengah Abdul Mu’ti				,"Daftar tersebut merupakan aspirasi masyarakat, bukan pernyataan resmi dari kementerian.","November 6, 2024",https://turnbackhoax.id/2024/11/06/salah-daftar-gebrakan-menteri-pendidikan-dasar-dan-menengah-abdul-muti/
Anies Baswedan Resmi Bikin Partai Perubahan Indonesia				,"Faktanya, video yang beredar merupakan potongan dokumentasi saat Anies menghadiri Pelantikan Pengurus Korps Alumni KNPI DKI Jakarta pada Oktober 2019.","November 6, 2024",https://turnbackhoax.id/2024/11/06/salah-anies-baswedan-resmi-bikin-partai-perubahan-indonesia/
Menteri Agama Nasaruddin Umar Bagi-Bagi Bantuan				,Konten yang beredar bukan berasal dari akun media sosial resmi milik Nasaruddin Umar. ,"November 6, 2024",https://turnbackhoax.id/2024/11/06/penipuan-menteri-agama-nasaruddin-umar-bagi-bagi-bantuan/
Raja Thailand Larang Warganya ke Indonesia karena Banyak Teroris				,Konteks asli potongan artikel yang beredar adalah tentang kontroversi Raja Thailand yang mengisolasi diri ke hotel mewah di Jerman saat pandemi COVID-19.,"November 5, 2024",https://turnbackhoax.id/2024/11/05/salah-raja-thailand-larang-warganya-ke-indonesia-karena-banyak-teroris/
Pemain Real Madrid Lucas Vázquez Ingin Masuk Timnas Indonesia				,"Faktanya, konteks asli dari video yang beredar adalah Lucas Vázquez sedang mengucapkan terima kasih atas dukungan masyarakat bagi Real Madrid.","November 5, 2024",https://turnbackhoax.id/2024/11/05/salah-pemain-real-madrid-lucas-vazquez-ingin-masuk-timnas-indonesia/
Surat Pemberitahuan Perubahan Biaya Transfer Bank Jatim				,Bank Jatim telah membantah surat pemberitahuan perubahan biaya transfer yang beredar.,"November 5, 2024",https://turnbackhoax.id/2024/11/05/penipuan-surat-pemberitahuan-perubahan-biaya-transfer-bank-jatim/
Denny Cagur Janjikan Bantuan Biaya Sekolah hingga Modal Usaha				,Audio dalam unggahan yang beredar merupakan rekayasa AI.,"November 5, 2024",https://turnbackhoax.id/2024/11/05/penipuan-denny-cagur-janjikan-bantuan-biaya-sekolah-hingga-modal-usaha/
Yaman Merudal Kapal Milik Inggris di Laut Merah				,"Faktanya, video yang beredar merupakan dokumentasi kapal Xpress Pearl yang terbakar di lepas pantai Sri Lanka tahun 2021.","November 4, 2024",https://turnbackhoax.id/2024/11/04/salah-yaman-merudal-kapal-milik-inggris-di-laut-merah/
